"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043299","GO:0043299","leukocyte degranulation","21/2016","81/18860",0.259259259259259,2.42541152263374,4.44762867349679,8.81584341449965e-05,0.00113580671091853,0.00079860777391519,"CD84/SPI1/LAT2/CHGA/CORO1A/PIK3CG/PTGDS/NCKAP1L/RAC2/KIT/FCER1G/ITGB2/SLC18A2/CD300A/LGALS9/RASGRP1/MRGPRX2/FCGR3A/HLA-F/LAT/CCL3",21
"GO:0045639","GO:0045639","positive regulation of myeloid cell differentiation","26/2016","111/18860",0.234234234234234,2.19129844129844,4.35486790466076,8.8182557562856e-05,0.00113580671091853,0.00079860777391519,"SCIN/CD4/CD74/CASP8/TESC/TREM2/TGFB1/HOXA5/CALCA/IL12B/STAT1/GPR68/INHBA/NCKAP1L/CD101/LEF1/TM4SF19/TAL1/DCSTAMP/INPP5D/FAXDC2/MTURN/EVI2B/ISG15/HLA-DRB1/TNF",26
"GO:0036336","GO:0036336","dendritic cell migration","12/2016","33/18860",0.363636363636364,3.4018759018759,4.77748081013329,8.89331904647563e-05,0.00114298483049487,0.000803654849302798,"SPI1/PIK3CG/TNFSF18/CXCR4/CCR7/CCL21/TRPM2/SLAMF8/CCR5/LGALS9/GPR183/CCL5",12
"GO:0042310","GO:0042310","vasoconstriction","22/2016","87/18860",0.252873563218391,2.36567232256887,4.41693768162737,9.05835160688649e-05,0.00116054052234458,0.000815998597453661,"CD38/ATP1A2/COMP/ITGA4/ADRA1A/EDN3/AVPR2/EDN2/PER2/EDNRB/HTR7/ADD3/ADRA2A/EDNRA/SVEP1/FGG/LEP/OXTR/SLC8A1/KCNMB2/GJA5/ADRA2B",22
"GO:0045061","GO:0045061","thymic T cell selection","10/2016","24/18860",0.416666666666667,3.8979828042328,4.91461002161428,9.08880686477571e-05,0.00116054052234458,0.000815998597453661,"CD74/PTPRC/ZAP70/CCR7/DOCK2/CD3G/CD3D/SPN/CARD11/CD3E",10
"GO:0046641","GO:0046641","positive regulation of alpha-beta T cell proliferation","10/2016","24/18860",0.416666666666667,3.8979828042328,4.91461002161428,9.08880686477571e-05,0.00116054052234458,0.000815998597453661,"PTPRC/RASAL3/IL12B/ZAP70/TNFSF4/IL18/LGALS9/CARD11/CD3E/HLA-A",10
"GO:0034612","GO:0034612","response to tumor necrosis factor","46/2016","244/18860",0.188524590163934,1.76367746552173,4.15378182274715,9.2718810936124e-05,0.0011813655393413,0.00083064107165779,"SELE/BRCA1/TRAF1/CASP8/CLDN18/ABCB1/PCK2/TNFSF13B/PYCARD/COL1A1/CALCA/HYAL1/STAT1/GBP1/MMP8/TNFAIP3/TNFSF18/H2BC11/AKAP12/EDA2R/POSTN/ADAMTS7/IL18BP/THBS1/ANKRD1/PID1/LAPTM5/AIM2/GPER1/DCSTAMP/GPD1/TMC8/CXCL8/FABP4/HAS2/CFL1/SPHK1/CDK5R1/SLC2A4/PRKN/HYAL3/TNFRSF4/UBD/TNF/CCL5/CCL3",46
"GO:0048736","GO:0048736","appendage development","39/2016","196/18860",0.198979591836735,1.86148566569485,4.19426345257099,9.43474580515168e-05,0.00119695745064499,0.00084160404753883,"BAK1/ALX4/PITX1/FGF10/HOXA9/BAX/SALL4/COMP/DLX5/MEOX2/ZBTB16/MSX2/HOXC13/HOXC11/RUNX2/ALDH1A2/LRP4/B4GALNT1/LEF1/COL2A1/ARK2C/COL6A1/CRABP2/OSR1/SFRP2/GPC3/NPR2/NFIA/FLVCR1/INTU/HAND2/ZNF219/COL3A1/CHST11/HOXC10/DYNC2H1/SCX/GJA5/MUSTN1",39
"GO:0060173","GO:0060173","limb development","39/2016","196/18860",0.198979591836735,1.86148566569485,4.19426345257099,9.43474580515168e-05,0.00119695745064499,0.00084160404753883,"BAK1/ALX4/PITX1/FGF10/HOXA9/BAX/SALL4/COMP/DLX5/MEOX2/ZBTB16/MSX2/HOXC13/HOXC11/RUNX2/ALDH1A2/LRP4/B4GALNT1/LEF1/COL2A1/ARK2C/COL6A1/CRABP2/OSR1/SFRP2/GPC3/NPR2/NFIA/FLVCR1/INTU/HAND2/ZNF219/COL3A1/CHST11/HOXC10/DYNC2H1/SCX/GJA5/MUSTN1",39
"GO:0046640","GO:0046640","regulation of alpha-beta T cell proliferation","14/2016","43/18860",0.325581395348837,3.04586563307494,4.64641632035089,9.47593574589333e-05,0.00119960882504757,0.000843468280413226,"FOXP3/PTPRC/RASAL3/IL12B/ZAP70/TNFSF4/IRF1/IL18/SLC4A2/LGALS9/LGALS9C/CARD11/CD3E/HLA-A",14
"GO:0045576","GO:0045576","mast cell activation","19/2016","70/18860",0.271428571428571,2.53925736961451,4.4635340208729,9.69576886913546e-05,0.00122481593064805,0.000861191886284659,"LCP2/CD84/LAT2/CHGA/PIK3CG/PTGDS/PTPN6/RAC2/TSLP/CD226/KIT/FCER1G/SLC18A2/CD300A/LGALS9/RASGRP1/MRGPRX2/CD300LF/LAT",19
"GO:0002399","GO:0002399","MHC class II protein complex assembly","8/2016","16/18860",0.5,4.67757936507936,5.09116855062915,9.81417908578221e-05,0.00122926751599882,0.000864321882465521,"HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DOA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DMB",8
"GO:0002428","GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","8/2016","16/18860",0.5,4.67757936507936,5.09116855062915,9.81417908578221e-05,0.00122926751599882,0.000864321882465521,"ULBP1/ULBP2/AZGP1/TAP2/HLA-C/HLA-F/HLA-A/HLA-B",8
