,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj,significant,symbol
ENSG00000104951.16,214.5129245,3.52342309,0.566318009,6.221633482,4.92E-10,7.33E-08,7.134775761,TRUE,IL4I1
ENSG00000123388.4,80.74892584,4.26392005,0.68569389,6.2184017,5.02E-10,7.43E-08,7.128788562,TRUE,HOXC11
ENSG00000154258.17,1516.944767,-2.728169025,0.438778462,-6.21764572,5.05E-10,7.43E-08,7.128788562,TRUE,ABCA9
ENSG00000140368.14,203.0698533,1.68018939,0.270955792,6.200972403,5.61E-10,8.22E-08,7.085216986,TRUE,PSTPIP1
ENSG00000129757.15,498.0770125,-2.185931632,0.352926944,-6.193722716,5.88E-10,8.56E-08,7.06770895,TRUE,CDKN1C
ENSG00000124334.18,46.59307619,3.683337134,0.595745776,6.182733105,6.30E-10,9.12E-08,7.039913427,TRUE,IL9R
ENSG00000118785.15,9926.757588,4.658916158,0.755988113,6.162684413,7.15E-10,1.03E-07,6.987283303,TRUE,SPP1
ENSG00000155511.19,94.08422742,-4.189845108,0.680013979,-6.161410263,7.21E-10,1.03E-07,6.986234634,TRUE,GRIA1
ENSG00000111452.13,409.026616,-2.616078063,0.424783314,-6.158617766,7.34E-10,1.04E-07,6.981009353,TRUE,ADGRD1
ENSG00000179934.7,41.69811385,5.030718605,0.817250812,6.155660574,7.48E-10,1.06E-07,6.975322458,TRUE,CCR8
ENSG00000165092.13,3096.632777,-2.273497201,0.370405215,-6.137864994,8.36E-10,1.18E-07,6.929024941,TRUE,ALDH1A1
ENSG00000085840.13,92.81763284,2.562120029,0.417713481,6.1336781,8.59E-10,1.20E-07,6.919978435,TRUE,ORC1
ENSG00000112837.17,1035.758788,-2.196880484,0.358852284,-6.121963211,9.24E-10,1.28E-07,6.89431154,TRUE,TBX18
ENSG00000126895.16,42.98803515,-3.544290949,0.57897453,-6.121669895,9.26E-10,1.28E-07,6.89431154,TRUE,AVPR2
ENSG00000287059.1,98.56746606,-2.990687239,0.488449787,-6.12281409,9.19E-10,1.28E-07,6.89431154,TRUE,NA
ENSG00000007968.7,194.2574721,2.734567657,0.447566231,6.109861437,9.97E-10,1.37E-07,6.864490231,TRUE,E2F2
ENSG00000082074.19,2257.590282,2.065650123,0.338968543,6.093928681,1.10E-09,1.50E-07,6.823516825,TRUE,FYB1
ENSG00000171848.16,884.7531417,3.42755294,0.562940042,6.088664303,1.14E-09,1.54E-07,6.8115492,TRUE,RRM2
ENSG00000157150.5,281.0368448,-2.996303859,0.492664993,-6.081828226,1.19E-09,1.60E-07,6.795322331,TRUE,TIMP4
ENSG00000143851.16,284.3814798,2.16599694,0.356203049,6.080792813,1.20E-09,1.60E-07,6.79480912,TRUE,PTPN7
ENSG00000004776.13,356.7325841,-2.79962681,0.46057665,-6.078525286,1.21E-09,1.62E-07,6.790947583,TRUE,HSPB6
ENSG00000176208.9,398.5200573,1.555773416,0.25605623,6.075905352,1.23E-09,1.64E-07,6.78612241,TRUE,ATAD5
ENSG00000166803.14,109.1425108,2.579475624,0.424809487,6.07207631,1.26E-09,1.67E-07,6.778017232,TRUE,PCLAF
ENSG00000011426.11,1195.040738,3.683142198,0.608051312,6.057288466,1.38E-09,1.82E-07,6.740304622,TRUE,ANLN
ENSG00000136160.17,1350.511365,-1.889707353,0.312171476,-6.053427353,1.42E-09,1.85E-07,6.732119973,TRUE,EDNRB
ENSG00000131747.15,3739.560595,3.51387187,0.581371536,6.044107167,1.50E-09,1.95E-07,6.709221015,TRUE,TOP2A
ENSG00000105825.14,536.1954008,-4.171656793,0.691305312,-6.034463677,1.59E-09,2.06E-07,6.687050207,TRUE,TFPI2
ENSG00000128918.15,394.5837007,-3.07225328,0.509137536,-6.03423056,1.60E-09,2.06E-07,6.687050207,TRUE,ALDH1A2
ENSG00000077274.9,1598.577417,-4.187189414,0.69405088,-6.032971834,1.61E-09,2.06E-07,6.685853583,TRUE,CAPN6
ENSG00000035499.13,85.56865691,2.643898937,0.439345074,6.017818545,1.77E-09,2.25E-07,6.647338457,TRUE,DEPDC1B
ENSG00000101955.15,1566.390786,-2.590665066,0.430813367,-6.01342778,1.82E-09,2.30E-07,6.637731922,TRUE,SRPX
ENSG00000186642.16,633.1779305,-2.341471688,0.389925953,-6.004913672,1.91E-09,2.42E-07,6.617082347,TRUE,PDE2A
ENSG00000183010.17,1324.265241,2.646880534,0.440967706,6.002436229,1.94E-09,2.44E-07,6.612596999,TRUE,PYCR1
ENSG00000135476.12,250.1700583,2.611050485,0.43551521,5.995314108,2.03E-09,2.54E-07,6.595685736,TRUE,ESPL1
ENSG00000179344.17,5606.581644,2.091728604,0.348954146,5.994279276,2.04E-09,2.54E-07,6.595043955,TRUE,HLA-DQB1
ENSG00000184730.12,230.8647344,2.366726365,0.395056489,5.990855557,2.09E-09,2.58E-07,6.588011038,TRUE,APOBR
